image_id,b1_denial,b2_generic,b3_present,b4_absent,b5_other
724,0.013954251438407337,0.5173297804582475,0.01081631585463424,0.00676767644568115,0.4511319758030297
776,0.0034971475922167495,0.4936679683513553,0.007440950445865093,0.00028760029198717646,0.4951063333185757
1425,0.02455292705791481,0.4317816644765284,0.0021722855400974194,0.006192058789959236,0.5353010641355
1584,0.009898648665988854,0.5004042402947199,0.03625065846037963,0.000479434195963361,0.45296701838294834
2261,0.0018732237553945954,0.4194852431171831,0.009083884410807595,3.336618385636336e-05,0.5695242825327584
2473,0.002388962492194029,0.5107089068591245,0.03464540782126797,0.0,0.4522567228274136
4765,0.0015003532506502983,0.4438755755487028,0.013509085439974042,7.871709405851504e-05,0.5410362686666144
5529,0.00629461942520822,0.502015048664657,0.031621599713114755,0.0002577581496674863,0.4598109740473525
6040,0.005923924971405407,0.4579228803395259,0.083424610958516,0.001342551662731274,0.4513860320678215
6763,0.009276719197714979,0.5388443093832304,0.0701011426584739,0.004521020226473478,0.37725680853410737
7784,0.003912707653046398,0.3962952557936853,0.005964455127332635,0.004235615047867585,0.5895919663780682
7818,0.0004833876241588651,0.45543899320137565,0.032792385973375235,0.0002407138170175655,0.5110445193840727
9448,0.009207878953113851,0.4705649988667356,0.02849299444723068,0.0004581793865624947,0.4912759483463574
12576,0.018114453632071884,0.46965168038655747,0.054841766467393166,0.0072217210491233065,0.4501703784648541
16228,0.016676775966180356,0.45038111365696554,0.0521989661867034,0.0005812212332225524,0.48016192295692806
17379,0.015793268391956723,0.4612417003129718,0.06609642767001724,0.0005449878080961716,0.4563236158169581
19432,0.0041925931109580965,0.48762328566091423,0.02573570508854781,9.775422874937128e-06,0.482438640716705
20333,0.009725529899234836,0.48009243716302175,0.054258423370602986,0.0007839620253062449,0.45513964754183417
20992,0.01042461061329448,0.5011889281339827,0.022739679209880653,0.030190462153116188,0.43545631988972594
21167,0.00734146762379593,0.5388534749177637,0.04774901512868802,0.004726440964617763,0.40132960136513474
22705,0.00903685012846649,0.46874309583389373,0.008671120320658508,0.032967249560795595,0.4805816841561857
23272,0.011040348952856644,0.4963244104304558,0.05751525164152396,0.007117074095891299,0.42800291487927233
25228,0.014244202861772519,0.42075228912249146,0.02018741922105514,0.00020804114552367298,0.5446080476491573
26926,0.0019286923983062125,0.4974878263072819,0.0036454642611836374,0.0052720221822915294,0.4916659948509367
27620,0.017189752248587483,0.5104185548995389,0.04828446774660899,0.03158541350124707,0.3925218116040176
27768,0.011932870645198618,0.5496845866960025,0.051869327888911715,0.00028088535272716863,0.38623232941716
31817,0.019424497784179626,0.4977796424227237,0.02286459388338869,0.00018020050606856302,0.45975106540363947
33221,0.02012308638163736,0.48848382204611646,0.028722991875321797,0.004139912813341778,0.45853018688358255
33759,0.018323595227311893,0.5026412618419497,0.05093111173646837,4.488126766327761e-05,0.42805914992660665
34760,0.010071683058679008,0.44333540447544056,0.024536173507809685,0.0007620812979462106,0.5212946576601246
34873,0.0066352540307672205,0.4331759406665474,0.021047963369142688,0.0034304361896387997,0.5357104057439037
37689,0.0024612199379405713,0.4490342302270997,0.00412422108541915,0.0004332114931184068,0.5439471172564221
39405,0.005403130480644947,0.42710016828052605,0.015457406189221446,2.584854582965205e-05,0.5520134465037779
39769,0.00989617207680992,0.4373224768463028,0.04653742933761666,0.0002963138076679261,0.5059476079316026
39914,0.016740056725086522,0.4870976431960207,0.03528205822976927,0.0008500156906245257,0.46003022615849903
41990,0.0014537429026656207,0.5263355527413583,0.031128861311807393,3.5335578482845616e-05,0.44104650746568586
42178,0.001119569544322249,0.4753491320032776,0.025699101189235542,0.0002862664644586027,0.497545930798706
42889,0.005431768636098071,0.453910531881467,0.03962609903538297,0.05800296846048928,0.4430286319865628
46463,0.007576926973494053,0.4177590270371712,0.017582297771302453,0.003672773612842277,0.55340897460519
47010,0.010480272594637808,0.4784353028883268,2.331586048192894e-05,0.008267987661845656,0.5027931209947077
47121,0.002682132716158813,0.49012633657581955,0.053874890432656364,0.00025321198734908534,0.45306342828801616
50380,0.015070712610820824,0.51662997039022,0.08652731909806706,6.128239296252732e-05,0.3817107155079297
51738,0.00598745401174543,0.4676851663527168,0.03203738118876287,0.00774218548748604,0.48654781295928884
52413,0.013758369278266399,0.4729511866498848,0.06447178848423048,0.015622440322943057,0.43319621526467533
52565,0.015656373903403988,0.5022744676114774,0.0472411073382497,7.97342649739308e-05,0.43474831688189514
53624,0.004792299933083921,0.4306296608774207,0.00894698316097894,0.003089034915487437,0.5525420211130289
54164,0.0007251258927735367,0.45474115246152513,0.009294287487467415,2.699012332479351e-05,0.5352124440349092
54592,0.008020131173745585,0.49679267784992026,0.02413033988159813,1.5011206301420636e-05,0.47104183988843457
54605,0.016634368369744763,0.45319381470795905,0.062066503764006846,0.0027855592228788638,0.4653197539354105
56288,0.00498359440844957,0.4480079632589988,0.01594098342766173,0.020979175167678006,0.5100882837372118
56545,0.004943214463886678,0.4890225736654122,0.04072289714630701,0.00023889651177978755,0.4650724182126144
59386,0.0074410382379849664,0.4955455145253179,0.00010924100366171537,0.011017455882414104,0.48588675035062134
60052,0.012138541437384874,0.42015966696081847,0.02277273327925086,0.00012072545204521735,0.5448083328705006
61418,0.0026164218937089934,0.4906368696926919,0.02948160486768304,0.013551993333246476,0.46371311021266975
62692,0.002140799611539565,0.4753046607970332,0.02358756495358343,0.00010812501937195995,0.4988588496184718
63552,0.008381941487476188,0.5098904952127437,0.028635774771155732,0.00019803664054040396,0.45289375188808406
64359,0.003702176743860498,0.38645970026791404,0.0,0.004835573315196049,0.6050025496730294
64495,0.006567214881230026,0.41411148274018167,0.0,0.009710289707214638,0.5696110126713736
64574,0.0059509928323247824,0.462571149234932,0.0005050060140176278,0.021431666929563838,0.5095411849891619
64868,0.007245449559610283,0.45100796955653655,0.020324969519187913,0.028216449873987914,0.49320516149067734
64898,0.009285633442378226,0.48016966708386055,0.023294291587998804,4.2540767869376485e-05,0.48720786711789316
65455,0.007958257151414648,0.4491571056440229,0.042959644138209165,0.001230746343279387,0.49869424672307383
66523,0.005926469545525535,0.4321800820240982,0.022963435232132116,0.00522001804645916,0.5337099951517851
66561,0.004453681399228365,0.5184317029869442,0.06568143302325709,0.007987198421983619,0.40344598416858685
66771,0.019544295161399616,0.4816388392872655,0.06150728737933657,0.016504399371227652,0.4208051788007707
67534,0.0056661693902678376,0.4968034609421716,0.04889868016944274,0.001659976319233197,0.4469717131788846
67896,0.0043001881561925545,0.5007062903092776,0.035000364810556565,0.0022823454094321564,0.45771081131454117
68387,0.013153589000240438,0.4829374498131831,0.019115381016159366,0.016050516467379584,0.46874306370303753
70739,0.00201264994196481,0.5084846730031656,0.052113800033095965,0.00863952566595121,0.42874935135582243
70774,0.0029459620678018573,0.436935873637796,0.0001644976265681727,0.0004926031634518069,0.5594610635043822
75612,0.00025695110196065433,0.4404588733547701,0.017921845838401833,0.00757866783750624,0.5337836618673613
76731,0.010893638148752629,0.4550701982163766,0.0401901570511533,0.0027688087917956887,0.49107719779192177
77595,0.017021604054021627,0.4546564025177531,0.11268495877909922,0.00038387247250053864,0.41525316217662556
79034,0.014945924327037311,0.4785093422256522,3.667488485519324e-05,0.0003625075603683902,0.5061455510020869
81394,0.014757911256790683,0.46878889206834157,0.023027823041743674,0.007826323909114636,0.48559904972400936
82688,0.005431933614244373,0.5054874824220906,0.05018034723847933,0.00903666314549162,0.429863573579694
83531,0.0009952612358685238,0.4266187805873853,0.00010279625697083188,0.012323011447703132,0.5599601504720723
87144,0.008733486232267362,0.528812285995464,0.061806666480937855,0.004665695156193584,0.39598186613513714
88432,0.017224839677847808,0.47523423874340964,0.016134433322647475,0.0041526777855540285,0.487253810470541
88848,0.009221638714993867,0.4773399307279621,0.051536949877973165,0.0018796041932108577,0.46002187648586
89271,0.011150371069008078,0.4923143256556653,0.055102105191732684,0.007523086132673594,0.4339101119509205
89296,0.009022400090519031,0.4777279401339888,0.03655054778164356,2.5975696093034463e-06,0.4766965144242393
89648,0.012060505362199603,0.5342828288555712,0.029141945426812654,0.001076172618215434,0.4234385477372011
90003,0.0019308233035687887,0.5065077221366955,0.010137317491308357,0.0003638323071943217,0.48106030476123324
92177,0.0021107093771163374,0.4198511481679908,0.0,0.01022412633891402,0.567814016115979
