image_id,step,b1_denial,b2_generic,b3_present,b4_absent,b5_other
724,0,0.0,0.9998668153026641,0.0,0.0,0.00013318469733555253
724,1,0.0,0.9967124825721938,0.0,0.0,0.00328751742780639
724,2,0.0,0.012504620808410532,0.0,0.0,0.9874953791915897
724,3,0.0,0.9919423582437823,0.0,0.0,0.00805764175621774
724,4,0.0,0.018179626929835366,0.0,0.002352292172938458,0.9794680808972266
724,5,0.0,0.18976542913316358,0.0,0.0001377552708330339,0.8100968155960029
724,6,0.0,0.0007866650154860331,0.0,0.0,0.9992133349845139
724,7,0.0,0.3488104011383462,0.0,0.0,0.6511895988616536
724,8,0.0008330930656098876,0.9197642448176802,0.0,0.0,0.07940266211671027
724,9,0.0,0.0013632183112885143,0.0,0.0,0.9986367816887114
724,10,0.0,0.9913089040664023,0.0,0.0,0.008691095933597662
724,11,0.005168892583098351,0.4013087441607406,0.0,0.0,0.593522363256161
724,12,0.0,0.0,0.0,0.0,0.9999999999999999
724,13,0.0,0.9443951420395429,0.0,0.0,0.055604857960457305
724,14,0.0,0.20407824303611682,0.0,0.0,0.7959217569638829
724,15,0.0,0.8563506259043823,0.0,0.0,0.14364937409561787
724,16,0.0,0.9813079100193366,0.0,0.0,0.018692089980663473
724,17,0.0,0.9369796454940958,0.0,0.0,0.06302035450590397
724,18,0.07496291879284293,0.15409764506294515,0.0,0.0,0.7709394361442117
724,19,0.0,0.7261126907122445,0.0,0.0,0.2738873092877555
724,20,0.0,0.9969669128527874,0.0,0.0,0.0030330871472124647
724,21,0.0034391403842437673,0.0003798501492391806,0.0,0.0,0.9961810094665171
724,22,0.0,0.9186318449801316,0.0,0.0,0.0813681550198682
724,23,0.0,0.9037262340963668,0.0,0.0,0.09627376590363301
724,24,0.0,0.04122840282788055,0.0,0.0,0.9587715971721193
724,25,0.0,6.460432243337414e-05,0.0,0.0,0.9999353956775666
724,26,0.007631544063890562,0.8128350505648984,0.0,0.0,0.17953340537121112
724,27,0.007339271616458905,0.07040385102301945,0.0,0.0,0.9222568773605213
